Best Fitness, Average Fitness, Worst Fitness
282.0, 282.0, 282.0
282.0, 282.0, 282.0
282.0, 282.0, 282.0
273.0, 273.0, 273.0
282.0, 282.0, 282.0
282.0, 282.0, 282.0
282.0, 282.0, 282.0
282.0, 282.0, 282.0
282.0, 282.0, 282.0
282.0, 282.0, 282.0
282.0, 282.0, 282.0
282.0, 282.0, 282.0
282.0, 282.0, 282.0
273.0, 273.0, 273.0
282.0, 282.0, 282.0
282.0, 282.0, 282.0
282.0, 282.0, 282.0
282.0, 282.0, 282.0
282.0, 282.0, 282.0
282.0, 282.0, 282.0
283.0, 282.015, 282.0
283.0, 282.04, 282.0
283.0, 282.075, 282.0
275.0, 273.34, 273.0
283.0, 282.35, 282.0
283.0, 282.58, 282.0
283.0, 282.865, 282.0
283.0, 282.985, 282.0
283.0, 283.0, 283.0
283.0, 283.0, 283.0
283.0, 283.0, 283.0
283.0, 283.0, 283.0
283.0, 283.0, 283.0
275.0, 275.0, 275.0
283.0, 283.0, 283.0
283.0, 283.0, 283.0
283.0, 282.955, 274.0
283.0, 283.0, 283.0
283.0, 283.0, 283.0
283.0, 283.0, 283.0
283.0, 283.0, 283.0
283.0, 283.0, 283.0
283.0, 283.0, 283.0
275.0, 275.0, 275.0
283.0, 283.0, 283.0
283.0, 283.0, 283.0
283.0, 283.0, 283.0
288.0, 283.125, 283.0
288.0, 283.325, 283.0
288.0, 283.375, 283.0
288.0, 283.775, 283.0
288.0, 284.225, 283.0
288.0, 285.0, 283.0
281.0, 276.815, 275.0
293.0, 287.25, 283.0
293.0, 288.0, 283.0
293.0, 288.175, 288.0
293.0, 288.225, 288.0
293.0, 288.45, 288.0
293.0, 288.75, 288.0
293.0, 289.395, 288.0
293.0, 290.345, 288.0
293.0, 291.635, 288.0
284.0, 283.41, 278.0
293.0, 292.98, 291.0
293.0, 293.0, 293.0
293.0, 293.0, 293.0
293.0, 293.0, 293.0
293.0, 293.0, 293.0
293.0, 293.0, 293.0
293.0, 293.0, 293.0
293.0, 293.0, 293.0
293.0, 293.0, 293.0
284.0, 284.0, 284.0
293.0, 293.0, 293.0
293.0, 293.0, 293.0
293.0, 293.0, 293.0
293.0, 293.0, 293.0
293.0, 293.0, 293.0
293.0, 293.0, 293.0
303.0, 293.15, 293.0
303.0, 293.1, 293.0
303.0, 293.4, 293.0
303.0, 285.235, 284.0
303.0, 294.4, 293.0
303.0, 295.9, 293.0
303.0, 298.1, 293.0
303.0, 300.35, 293.0
303.0, 302.4, 293.0
303.0, 303.0, 303.0
303.0, 303.0, 303.0
303.0, 303.0, 303.0
304.0, 303.01, 303.0
303.0, 303.0, 303.0
304.0, 303.045, 303.0
304.0, 303.09, 303.0
304.0, 303.16, 303.0
304.0, 303.34, 303.0
304.0, 303.5, 303.0
304.0, 303.765, 303.0
304.0, 303.94, 303.0
304.0, 304.0, 304.0
304.0, 304.0, 304.0
303.0, 303.0, 303.0
304.0, 304.0, 304.0
304.0, 304.0, 304.0
308.0, 304.06, 304.0
308.0, 304.1, 304.0
314.0, 304.45, 304.0
314.0, 304.94, 304.0
314.0, 305.82, 304.0
318.0, 307.23, 304.0
318.0, 309.54, 304.0
320.0, 312.42, 303.0
318.0, 314.41, 304.0
318.0, 316.17, 308.0
318.0, 317.34, 314.0
318.0, 317.8, 314.0
318.0, 318.0, 318.0
318.0, 318.0, 318.0
318.0, 318.0, 318.0
318.0, 318.0, 318.0
318.0, 318.0, 318.0
320.0, 320.0, 320.0
318.0, 318.0, 318.0
318.0, 318.0, 318.0
318.0, 318.0, 318.0
318.0, 318.0, 318.0
318.0, 318.0, 318.0
318.0, 318.0, 318.0
318.0, 318.0, 318.0
322.0, 318.04, 318.0
322.0, 318.1, 318.0
324.0, 320.18, 320.0
322.0, 318.38, 318.0
322.0, 318.52, 318.0
322.0, 318.78, 318.0
322.0, 319.44, 318.0
322.0, 320.3, 318.0
322.0, 321.36, 318.0
322.0, 321.96, 318.0
322.0, 322.0, 322.0
322.0, 322.0, 322.0
324.0, 324.0, 324.0
322.0, 322.0, 322.0
322.0, 322.0, 322.0
322.0, 322.0, 322.0
322.0, 322.0, 322.0
322.0, 322.0, 322.0
322.0, 322.0, 322.0
322.0, 322.0, 322.0
322.0, 322.0, 322.0
322.0, 322.0, 322.0
324.0, 324.0, 324.0
322.0, 322.0, 322.0
322.0, 322.0, 322.0
322.0, 322.0, 322.0
322.0, 322.0, 322.0
322.0, 322.0, 322.0
322.0, 322.0, 322.0
322.0, 322.0, 322.0
322.0, 322.0, 322.0
322.0, 322.0, 322.0
324.0, 324.0, 324.0
322.0, 322.0, 322.0
322.0, 322.0, 322.0
322.0, 322.0, 322.0
322.0, 322.0, 322.0
322.0, 322.0, 322.0
322.0, 322.0, 322.0
322.0, 322.0, 322.0
322.0, 322.0, 322.0
322.0, 322.0, 322.0
324.0, 324.0, 324.0
322.0, 322.0, 322.0
322.0, 322.0, 322.0
322.0, 322.0, 322.0
322.0, 322.0, 322.0
322.0, 322.0, 322.0
322.0, 322.0, 322.0
322.0, 322.0, 322.0
322.0, 322.0, 322.0
322.0, 322.0, 322.0
324.0, 324.0, 324.0
322.0, 322.0, 322.0
322.0, 322.0, 322.0
322.0, 322.0, 322.0
322.0, 322.0, 322.0
322.0, 322.0, 322.0
322.0, 322.0, 322.0
322.0, 322.0, 322.0
322.0, 322.0, 322.0
322.0, 322.0, 322.0
324.0, 324.0, 324.0
322.0, 322.0, 322.0
322.0, 322.0, 322.0
322.0, 322.0, 322.0
322.0, 322.0, 322.0
322.0, 322.0, 322.0
322.0, 322.0, 322.0
322.0, 322.0, 322.0
322.0, 322.0, 322.0
322.0, 322.0, 322.0
324.0, 324.0, 324.0
322.0, 322.0, 322.0
322.0, 322.0, 322.0
322.0, 322.0, 322.0
322.0, 322.0, 322.0
322.0, 322.0, 322.0
322.0, 322.0, 322.0
322.0, 322.0, 322.0
322.0, 322.0, 322.0
322.0, 322.0, 322.0
324.0, 324.0, 324.0
322.0, 322.0, 322.0
322.0, 322.0, 322.0
322.0, 322.0, 322.0
322.0, 322.0, 322.0
332.0, 322.1, 322.0
332.0, 322.15, 322.0
332.0, 322.45, 322.0
332.0, 322.75, 322.0
332.0, 323.25, 322.0
324.0, 323.95, 319.0
332.0, 322.5, 322.0
332.0, 323.0, 322.0
332.0, 323.95, 322.0
332.0, 325.65, 322.0
332.0, 328.05, 322.0
332.0, 330.6, 322.0
332.0, 331.85, 322.0
334.0, 332.03, 332.0
334.0, 332.09, 332.0
319.0, 319.0, 319.0
334.0, 332.06, 332.0
334.0, 332.13, 332.0
334.0, 332.32, 332.0
334.0, 332.49, 332.0
334.0, 332.87, 332.0
334.0, 333.335, 332.0
335.0, 333.78, 332.0
335.0, 334.035, 332.0
335.0, 334.13, 334.0
319.0, 319.0, 319.0
335.0, 334.3, 334.0
335.0, 334.6, 334.0
335.0, 334.8, 334.0
335.0, 334.93, 334.0
335.0, 335.0, 335.0
335.0, 335.0, 335.0
335.0, 335.0, 335.0
335.0, 335.0, 335.0
338.0, 335.03, 335.0
325.0, 319.04, 319.0
338.0, 335.015, 335.0
338.0, 335.045, 335.0
338.0, 335.15, 335.0
338.0, 335.33, 335.0
338.0, 335.56, 335.0
338.0, 336.12, 335.0
338.0, 336.76, 335.0
338.0, 337.595, 335.0
338.0, 337.945, 335.0
325.0, 325.0, 325.0
338.0, 338.0, 338.0
338.0, 338.0, 338.0
345.0, 338.035, 338.0
345.0, 338.035, 338.0
338.0, 338.0, 338.0
338.0, 338.0, 338.0
338.0, 338.0, 338.0
338.0, 338.0, 338.0
338.0, 338.0, 338.0
326.0, 325.015, 325.0
338.0, 338.0, 338.0
338.0, 338.0, 338.0
338.0, 338.0, 338.0
338.0, 338.0, 338.0
338.0, 338.0, 338.0
338.0, 338.0, 338.0
338.0, 338.0, 338.0
338.0, 338.0, 338.0
338.0, 338.0, 338.0
325.0, 325.0, 325.0
338.0, 338.0, 338.0
338.0, 338.0, 338.0
